Uniprot Accession,Gene,Organism,1,2,3,4,5,6
O43399,TPD52L2,Homo sapiens (Human),0.450814955,1,0.45994496,0.334825915,0.264283958,0
O43402,EMC8,Homo sapiens (Human),0.171554542,1,0.773940908,0.549964437,0.723729919,0
O43464,HTRA2,Homo sapiens (Human),0,0.164486012,0.472537577,1,0.783715085,0.102119145
O43491,#N/A,#N/A,1,0.742509747,0.3526574,0.171407633,0.066246347,0
O43491-4,#N/A,#N/A,0.957217851,1,0.642885801,0.68816728,0.26263365,0
O43493,TGOLN2,Homo sapiens (Human),0.078073353,1,0.628317883,0.237714248,0.340512315,0
O43504,LAMTOR5,Homo sapiens (Human),0.415858735,1,0.655906042,0.233353856,0.198583475,0
O43615,TIMM44,Homo sapiens (Human),0,0.067692846,0.404114249,1,0.54646827,0.128167762
O43617,TRAPPC3,Homo sapiens (Human),0,1,0.449741911,0.047922971,0.891959034,0.094051334
O43633,CHMP2A,Homo sapiens (Human),0.629265303,1,0.56306695,0.238047041,0.128502344,0
O43657,TSPAN6,Homo sapiens (Human),0.299408317,1,0.820246071,0.214789508,0.164501254,0
O43674,NDUFB5,Homo sapiens (Human),0,0.060308359,0.47541706,1,0.507492179,0.166977709
O43676,NDUFB3,Homo sapiens (Human),0,0.055987844,0.406702617,1,0.601312818,0.203061935
O43677,NDUFC1,Homo sapiens (Human),0,0.158399072,0.510852194,1,0.679503473,0.231226403
O43678,NDUFA2,Homo sapiens (Human),0,0.08520091,0.417530541,1,0.716619926,0.17366518
O43681,ASNA1,Homo sapiens (Human),0.002506479,0.245588053,0,0.228076771,1,0.520025012
O43684,BUB3,Homo sapiens (Human),0,0.497219185,0.8199017,1,0.967819341,0.74953918
O43707,ACTN4,Homo sapiens (Human),0.823445387,1,0.440041757,0.334967161,0.185853381,0
O43716,GATC,Homo sapiens (Human),0,0.179538523,0.492791953,1,0.722371889,0.06918683
O43747,AP1G1,Homo sapiens (Human),0.391171143,1,0.622802715,0.324678247,0.226749418,0
O43760,SYNGR2,Homo sapiens (Human),0.388097936,1,0.359780798,0.078940027,0.120222444,0
O43772,SLC25A20,Homo sapiens (Human),0,0.088835004,0.408113373,1,0.721730663,0.15077869
O43776,NARS,Homo sapiens (Human),0.674265881,1,0.267516884,0,0.894402601,0.117656145
O43795,MYO1B,Homo sapiens (Human),1,0.837940554,0.532846277,0.345809679,0.226242309,0
O43819,SCO2,Homo sapiens (Human),0,0.314051042,0.536556294,1,0.68949581,0.104918579
O43852,#N/A,#N/A,0.242042989,1,0.886803605,0.344960955,0.078436265,0
O43852-2,#N/A,#N/A,0.245378892,1,0.843186184,0.380495756,0.1128318,0
O43854,EDIL3,Homo sapiens (Human),0.344560818,1,0.899434964,0.317581765,0.258012959,0
O43865,AHCYL1,Homo sapiens (Human),1,0.847710629,0.079636877,0,0.708132358,0.47689615
O43920,NDUFS5,Homo sapiens (Human),0,0.110592361,0.486440374,1,0.980554895,0.237018225
O60291,MGRN1,Homo sapiens (Human),0.621507257,1,0.874464936,0.458151094,0.349969759,0
O60313,OPA1,Homo sapiens (Human),0,0.081998484,0.438956284,1,0.382314718,0.079791507
O60331,PIP5K1C,Homo sapiens (Human),1,0.620923941,0.35060005,0.356784085,0.24128217,0
O60476,MAN1A2,Homo sapiens (Human),0,0.594233495,1,0.325029745,0.17951623,0.059839854
O60488,ACSL4,Homo sapiens (Human),0.212887339,0.438598863,0.487672058,1,0.354310038,0
O60493,SNX3,Homo sapiens (Human),0,0.403794697,0.33865788,0.306169818,1,0.28784964
O60506,SYNCRIP,Homo sapiens (Human),0,1,0.31501566,0.417010054,0.805621833,0.289472657
O60518,RANBP6,Homo sapiens (Human),0,0.174324828,0.550052926,1,0.422826511,0.02614675
O60565,GREM1,Homo sapiens (Human),0.093224858,0.617452941,0.67024858,0.341931508,1,0
O60568,PLOD3,Homo sapiens (Human),0.164312376,1,0.880388332,0.442974523,0.356891379,0
O60637,TSPAN3,Homo sapiens (Human),0.235092914,1,0.916406901,0.311886135,0.231925838,0
O60645,EXOC3,Homo sapiens (Human),1,0.938598754,0.660067066,0.344569229,0.211886649,0
O60664,PLIN3,Homo sapiens (Human),0.753856924,1,0.377993677,0.251914467,0.303775923,0
O60701,UGDH,Homo sapiens (Human),0,0.134200658,0.045032294,0.279033134,1,0.84612401
O60716,CTNND1,Homo sapiens (Human),1,0.729020561,0.392197271,0.212243954,0.196194249,0
O60749,SNX2,Homo sapiens (Human),0.069997174,0.730874643,0,0.238035699,1,0.382067122
O60762,DPM1,Homo sapiens (Human),0.265797524,1,0.819360509,0.399718116,0.337157455,0
O60763,USO1,Homo sapiens (Human),0.703872652,1,0.608928664,0.29885119,0.440655116,0
O60783,MRPS14,Homo sapiens (Human),0,0.131486071,0.506500688,1,0.750405008,0.122249892
O60831,PRAF2,Homo sapiens (Human),0.242949465,1,0.614904891,0.418218534,0.686691429,0
O60841,EIF5B,Homo sapiens (Human),0,0.61522377,0.292263186,0.304060014,1,0.285304602
O60884,DNAJA2,Homo sapiens (Human),0,0.20422636,0.266375061,0.527740803,0.968409739,1
O75027,ABCB7,Homo sapiens (Human),0,0.071350442,0.401812357,1,0.426380045,0.104158257
O75063,FAM20B,Homo sapiens (Human),0.095738197,0.870473719,1,0.46027782,0.363574539,0
O75083,WDR1,Homo sapiens (Human),0.819308834,1,0.315285448,0.162978152,0.181147699,0
O75127,PTCD1,Homo sapiens (Human),0,0.075701391,0.349236472,1,0.219832928,0.075979781
O75131,CPNE3,Homo sapiens (Human),0.589571241,1,0.481483129,0.367626853,0.550174034,0
O75146,HIP1R,Homo sapiens (Human),1,0.73360842,0.688316589,0.341031356,0.313689178,0
O75165,DNAJC13,Homo sapiens (Human),0.28096181,1,0.327613298,0.136547208,0.14979454,0
O75190,DNAJB6,Homo sapiens (Human),0,0.143924844,0.153578862,0.383274132,0.960124643,1
O75208,COQ9,Homo sapiens (Human),0,0.057522931,0.387285346,1,0.422502991,0.112393481
O75306,NDUFS2,Homo sapiens (Human),0,0.082321202,0.459585295,1,0.976906677,0.20596845
O75323,GBAS,Homo sapiens (Human),0,0.104528054,0.42736844,1,0.589976104,0.165731115
O75326,SEMA7A,Homo sapiens (Human),0.939686561,1,0.55756786,0.246886617,0.140453862,0
O75348,ATP6V1G1,Homo sapiens (Human),0.644675527,1,0.570617492,0.347189446,0.143551403,0
O75351,VPS4B,Homo sapiens (Human),0,0.631385209,0.189808755,0.195930218,1,0.345501389
O75369,FLNB,Homo sapiens (Human),1,0.897527855,0.605464703,0.431172038,0.260448237,0
O75380,NDUFS6,Homo sapiens (Human),0,0.077052071,0.438158601,1,0.423002712,0.105132544
O75381,PEX14,Homo sapiens (Human),0,0.293935529,0.638961642,0.818488386,1,0.247857701
O75390,CS,Homo sapiens (Human),0,0.075381483,0.445779915,1,0.441040994,0.076370511
O75396,SEC22B,Homo sapiens (Human),0.486150826,1,0.503011879,0.237688499,0.19718035,0
O75431,MTX2,Homo sapiens (Human),0,0.106244874,0.386670996,1,0.672242722,0.162993455
O75438,NDUFB1,Homo sapiens (Human),0,0.108243187,0.397388668,1,0.580545287,0.164228222
O75439,PMPCB,Homo sapiens (Human),0,0.091529292,0.459909086,1,0.639251117,0.157440114
O75477,ERLIN1,Homo sapiens (Human),0.241685417,1,0.661900818,0.370395459,0.279699399,0
O75489,NDUFS3,Homo sapiens (Human),0,0.085610064,0.412879422,1,0.802275389,0.186776847
Q8WXF0,SRSF12,Homo sapiens (Human),0,0.806387872,0.820031246,0.80097681,0.941857449,1
O75503,CLN5,Homo sapiens (Human),0.303402084,0.978397013,1,0.353488432,0.183292594,0
O75508,CLDN11,Homo sapiens (Human),0.599620564,1,0.701477237,0.262631243,0.156048414,0
O75521,ECI2,Homo sapiens (Human),0,0.176505362,0.610319465,1,0.638651773,0.211465462
O75531,BANF1,Homo sapiens (Human),0,0.482870492,0.977406483,0.571790997,1,0.03568006
O75534,CSDE1,Homo sapiens (Human),0,0.357623512,0.346424616,0.636998198,1,0.895754586
O75569,PRKRA,Homo sapiens (Human),0,0.417751561,0.686332045,0.442666963,1,0.602445281
O75600,GCAT,Homo sapiens (Human),0,0.105321746,0.537991427,1,0.533974087,0.090835709
O75629,CREG1,Homo sapiens (Human),0.306962892,1,0.752299098,0.305388913,0.095350236,0
O75695,RP2,Homo sapiens (Human),1,0.748494697,0.467037272,0.19277743,0.146399484,0
O75718,CRTAP,Homo sapiens (Human),0.178643277,1,0.829418713,0.30241755,0.316322014,0
O75746,SLC25A12,Homo sapiens (Human),0,0.084184674,0.430795475,1,0.546591012,0.125278151
O75762,TRPA1,Homo sapiens (Human),0.746839541,1,0.651988572,0.474311976,0.430468383,0
O75781,PALM,Homo sapiens (Human),1,0.655768947,0.339675406,0.144281613,0.147880676,0
O75787,ATP6AP2,Homo sapiens (Human),0.251932241,1,0.734574052,0.322797023,0.236456404,0
O75844,ZMPSTE24,Homo sapiens (Human),0.414961869,1,0.681809035,0.367389713,0.31118713,0
O75874,IDH1,Homo sapiens (Human),0.678051644,1,0.379104875,0.399025695,0.562943412,0
O75879,GATB,Homo sapiens (Human),0,0.075785596,0.37444686,1,0.483848636,0.109923974
O75880,SCO1,Homo sapiens (Human),0,0.087147105,0.513270032,1,0.457460957,0.085158979
O75886,STAM2,Homo sapiens (Human),0.619590455,1,0.425480983,0.215091108,0.214313323,0
O75915,ARL6IP5,Homo sapiens (Human),0.322249109,1,0.698770846,0.383697219,0.563349916,0
O75947,ATP5H,Homo sapiens (Human),0,0.063251093,0.409312374,1,0.580835408,0.144338246
O75955,FLOT1,Homo sapiens (Human),0.975047766,1,0.821093945,0.378976673,0.345547629,0
O75962,TRIO,Homo sapiens (Human),0,0.975167919,0.423582019,0.924627483,1,0.024049141
O75964,ATP5L,Homo sapiens (Human),0,0.091407032,0.422311575,1,0.704384718,0.172271395
O75976,CPD,Homo sapiens (Human),0.259656868,1,0.719013063,0.280372457,0.264993424,0
O76024,WFS1,Homo sapiens (Human),0.126298982,1,0.919031974,0.492453641,0.536832588,0
O76031,CLPX,Homo sapiens (Human),0,0.061224697,0.405443133,1,0.460721142,0.12414198
O76074,PDE5A,Homo sapiens (Human),0.389319091,1,0.290645206,0.393820222,0.9894899,0
O76081,RGS20,Homo sapiens (Human),1,0.842447231,0.543945198,0.239231122,0.176200916,0
O76094,SRP72,Homo sapiens (Human),0.189365962,0.371398207,0,0.349855395,1,0.922587208
O94760,DDAH1,Homo sapiens (Human),0.70383856,1,0.381644113,0.15753715,0.215267659,0
O94804,STK10,Homo sapiens (Human),0.663282699,1,0.39853179,0.285943042,0.484031409,0
O94826,TOMM70A,Homo sapiens (Human),0,0.089673456,0.426983497,1,0.460116572,0.100742905
O94874,UFL1,Homo sapiens (Human),0.321607794,1,0.527929125,0.235459271,0.125963269,0
O94905,ERLIN2,Homo sapiens (Human),0.238987655,1,0.649973223,0.380987207,0.352762153,0
O94919,ENDOD1,Homo sapiens (Human),0.435179243,1,0.484769424,0.299648156,0.272145224,0
O94923,GLCE,Homo sapiens (Human),0,0.516609989,1,0.298734579,0.284643343,0.061166945
O94925,#N/A,#N/A,0,0.285793141,0.579819282,1,0.556803014,0.060613767
O94925-3,#N/A,#N/A,0,0.045065964,0.417343524,1,0.35862981,0.109079308
O94973,AP2A2,Homo sapiens (Human),0.983943929,1,0.815117913,0.450204012,0.363482353,0
O94979,SEC31A,Homo sapiens (Human),0,0.706332501,0.487259253,0.542341622,1,0.648468227
O95139,NDUFB6,Homo sapiens (Human),0,0.07752176,0.378454964,1,0.540507308,0.112164871
O95140,MFN2,Homo sapiens (Human),0,0.147689237,0.473007951,1,0.485304785,0.099165019
O95168,NDUFB4,Homo sapiens (Human),0,0.132080782,0.368192215,0.828368342,1,0.145226102
O95169,NDUFB8,Homo sapiens (Human),0,0.070227545,0.383212744,1,0.583777251,0.189223304
O95182,NDUFA7,Homo sapiens (Human),0,0.113814777,0.355110145,1,0.487836209,0.039621523
O95183,VAMP5,Homo sapiens (Human),1,0.808011267,0.480619092,0.184114381,0.061114591,0
O95202,LETM1,Homo sapiens (Human),0,0.056956986,0.395060218,1,0.554712598,0.139450201
O95249,GOSR1,Homo sapiens (Human),0.220894715,1,0.966048236,0.221511494,0.141754659,0
O95292,VAPB,Homo sapiens (Human),0.722031551,1,0.243671971,0.316458256,0.109976139,0
O95297,MPZL1,Homo sapiens (Human),0.835421247,1,0.907387789,0.678081942,0.241450867,0
E9PQ53,NDUFC2-KCTD14,Homo sapiens (Human),0,0.068408022,0.394662417,1,0.42156277,0.105439196
O95299,NDUFA10,Homo sapiens (Human),0,0.058010241,0.415913836,1,0.494789598,0.152987744
O95302,FKBP9,Homo sapiens (Human),0.206108676,1,0.775020065,0.324402813,0.165421974,0
O95340,PAPSS2,Homo sapiens (Human),0,0.332458126,0.178270929,0.49232665,1,0.898506008
O95347,SMC2,Homo sapiens (Human),0,0.271386394,0.397572528,1,0.700459725,0.840855912
O95372,LYPLA2,Homo sapiens (Human),0.17627157,1,0.302962042,0.246688793,0.918058636,0
O95433,AHSA1,Homo sapiens (Human),0.17444785,1,0.839801902,0.458798897,0.668343414,0
O95470,SGPL1,Homo sapiens (Human),0.303154718,1,0.836640991,0.49816769,0.26514972,0
O95479,H6PD,Homo sapiens (Human),0.252751311,1,0.806157466,0.414856947,0.407925086,0
O95562,SFT2D2,Homo sapiens (Human),0.636847894,1,0.325666417,0.176998138,0.227989914,0
O95563,MPC2,Homo sapiens (Human),0,0.075546482,0.440002377,1,0.487208903,0.129169736
O95571,ETHE1,Homo sapiens (Human),0,0.067825724,0.376325469,1,0.579039031,0.116383835
O95573,ACSL3,Homo sapiens (Human),0.377045384,1,0.747351269,0.415470164,0.407679484,0
O95671,ASMTL,Homo sapiens (Human),0,0.143586093,0.135631555,0.330941714,1,0.407331918
O95721,SNAP29,Homo sapiens (Human),0.625924437,1,0.3568147,0.143313608,0.086274141,0
O95747,OXSR1,Homo sapiens (Human),0.432429848,1,0.775077123,0.37066246,0.101217588,0
O95772,STARD3NL,Homo sapiens (Human),0.372205656,1,0.803940817,0.232105911,0.199474186,0
O95782,AP2A1,Homo sapiens (Human),0.971862066,1,0.786788244,0.405378579,0.291668994,0
O95786,DDX58,Homo sapiens (Human),0,0.263328197,0.287111877,0.108889097,1,0.492479265
O95810,SDPR,Homo sapiens (Human),1,0.891969178,0.671188556,0.24629767,0.191596633,0
O95816,BAG2,Homo sapiens (Human),0,0.802671916,0.635416938,0.686206804,1,0.77067131
O95817,BAG3,Homo sapiens (Human),0.430450089,1,0.058878861,0,0.413644583,0.754176689
O95822,MLYCD,Homo sapiens (Human),0,0.297429852,0.483587394,1,0.480980961,0.014392635
O95831,AIFM1,Homo sapiens (Human),0,0.067406128,0.404893051,1,0.455018604,0.111856129
O95864,FADS2,Homo sapiens (Human),0.200011658,1,0.983830596,0.737423534,0.842523618,0
O95865,DDAH2,Homo sapiens (Human),0.965436345,1,0.513298366,0.431853134,0.189692061,0
O95870,ABHD16A,Homo sapiens (Human),0.084604168,0.943056542,1,0.948135636,0.855227789,0
O95881,TXNDC12,Homo sapiens (Human),0.225686884,1,0.748156485,0.286986419,0.209790945,0
O95980,RECK,Homo sapiens (Human),1,0.825640561,0.458703807,0.229881026,0.228520154,0
