Uniprot Accession,Gene,Organism,1,2,3,4,5,6
O00116,AGPS,Homo sapiens (Human),0,0.299611729,1,0.946419132,0.988693896,0.094601434
O00142,TK2,Homo sapiens (Human),0,0.039740415,0.397245317,1,0.910254371,0.231091263
O00151,PDLIM1,Homo sapiens (Human),1,0.436604091,0.257781068,0.229817794,0.041514015,0
O00154,ACOT7,Homo sapiens (Human),0.172539677,0,0.419475203,0.86381002,1,0.426197198
O00159,MYO1C,Homo sapiens (Human),1,0.611074198,0.256679339,0.123776546,0.104930872,0
O00161,SNAP23,Homo sapiens (Human),1,0.397005366,0.418053178,0.128737423,0.029194006,0
O00165,HAX1,Homo sapiens (Human),0,0.01676511,0.465948311,1,0.255361412,0.097402061
O00186,STXBP3,Homo sapiens (Human),1,0.518359877,0.364332672,0.134825516,0.03981249,0
O00214,LGALS8,Homo sapiens (Human),1,0.488923114,0.558834466,0.442921569,0.23194473,0
O00217,NDUFS8,Homo sapiens (Human),0,0.012265429,0.462752923,1,0.331969402,0.127925263
O00231,PSMD11,Homo sapiens (Human),0.435491251,0.012203536,0,0.593137802,1,0.611797982
O00232,PSMD12,Homo sapiens (Human),0.220182097,0,0.216184664,0.587673732,1,0.747243958
O00264,PGRMC1,Homo sapiens (Human),0.935992126,1,0.775031482,0.533895523,0.402742336,0
O00291,HIP1,Homo sapiens (Human),0.65974804,0.308077073,1,0.263920769,0.330754082,0
O00299,CLIC1,Homo sapiens (Human),1,0.548627517,0.16184455,0.082490753,0.27448803,0
O00330,PDHX,Homo sapiens (Human),0,0.01911529,0.419660379,1,0.424191643,0.161866258
O00391,QSOX1,Homo sapiens (Human),0.523976237,1,0.533445697,0.2512568,0.23572601,0
O00410,IPO5,Homo sapiens (Human),0.077306309,0.004463641,0.453668486,1,0.160809246,0
O00442,RTCA,Homo sapiens (Human),0,0.12540301,0.145877241,0.653757313,1,0.440576122
O00461,GOLIM4,Homo sapiens (Human),0.517403001,1,0.723317104,0.40175362,0.462269673,0
O00468,AGRN,Homo sapiens (Human),0.467373573,1,0.842924749,0.231032863,0.548802352,0
O00469,PLOD2,Homo sapiens (Human),0.709169928,1,0.919304868,0.532024987,0.630366356,0
O00471,EXOC5,Homo sapiens (Human),1,0.312046165,0.405989274,0.266982077,0.60005629,0
O00483,NDUFA4,Homo sapiens (Human),0,0.01516386,0.424551161,1,0.24142727,0.117321697
O00487,PSMD14,Homo sapiens (Human),0.169588298,0.024595,0,0.347503339,1,0.673128248
O00560,SDCBP,Homo sapiens (Human),0.641404429,1,0.432110802,0.129247374,0.047896524,0
O00567,NOP56,Homo sapiens (Human),0.064360819,0.145276194,0,0.019514445,1,0.323774638
O00584,RNASET2,Homo sapiens (Human),0.369623375,0.4449649,1,0.695047454,0.159894819,0
O00592,PODXL,Homo sapiens (Human),1,0.577881965,0.477659389,0.203955249,0.098453525,0
O00746,NME4,Homo sapiens (Human),0,0.03101787,0.369420316,1,0.774121205,0.156039525
O00748,CES2,Homo sapiens (Human),0.591435617,1,0.560177695,0.372051627,0.355927404,0
O00754,MAN2B1,Homo sapiens (Human),0.443823326,0.648716345,1,0.628638994,0.218152659,0
O14494,PLPP1,Homo sapiens (Human),1,0.509449736,0.573451322,0.14669748,0.061669092,0
O14495,PLPP3,Homo sapiens (Human),1,0.660710332,0.514479393,0.225638749,0.065822246,0
O14521,SDHD,Homo sapiens (Human),0,0.071015105,0.118522255,0.887162777,1,0.253838031
O14523,C2CD2L,Homo sapiens (Human),0.607920956,1,0.54684207,0.264522129,0.273168683,0
O14548,COX7A2L,Homo sapiens (Human),0,0.01981134,0.418666249,1,0.306685984,0.105127194
O14561,NDUFAB1,Homo sapiens (Human),0.009223632,0,0.507608317,1,0.359542089,0.131700758
O14569,CYB561D2,Homo sapiens (Human),0.59814774,0.489936976,0.812302997,1,0.969789412,0
O14653,GOSR2,Homo sapiens (Human),0.853071422,1,0.690444049,0.312720847,0.232463541,0
O14656,TOR1A,Homo sapiens (Human),0.904883101,1,0.797367111,0.545196226,0.55781127,0
O14657,TOR1B,Homo sapiens (Human),0.857260004,1,0.887671875,0.564520523,0.547143743,0
O14672,ADAM10,Homo sapiens (Human),0.604331019,1,0.590113731,0.520882918,0.92794566,0
O14681,EI24,Homo sapiens (Human),0.804393015,0.917750565,1,0.574674624,0.407831698,0
O14734,ACOT8,Homo sapiens (Human),0,0.174610618,0.59576028,0.933406905,1,0.082721383
O14735,CDIPT,Homo sapiens (Human),0.483417436,0.77661693,0.325073827,0.455912232,1,0
O14745,SLC9A3R1,Homo sapiens (Human),1,0.63088323,0.304592092,0.18120739,0.085051382,0
O14763,TNFRSF10B,Homo sapiens (Human),0.89686276,0.649108583,0.920382123,1,0.691099809,0
O14773,TPP1,Homo sapiens (Human),0.153935474,0.356243799,1,0.609726943,0.114235169,0
O14818,PSMA7,Homo sapiens (Human),1,0.719816405,0.305082361,0.414095643,0.743377841,0
O14828,SCAMP3,Homo sapiens (Human),0.985621148,1,0.580115902,0.158028949,0.092829346,0
O14874,BCKDK,Homo sapiens (Human),0,0.051770765,0.327644917,1,0.497668964,0.121941118
O14879,IFIT3,Homo sapiens (Human),0.406962149,0,0.083403568,0.315948384,1,0.50040617
O14880,MGST3,Homo sapiens (Human),0,0.019060055,0.530272851,1,0.281879946,0.1195345
O14908,GIPC1,Homo sapiens (Human),1,0.278913482,0.126656025,0.042147121,0.050476115,0
Q5SRD1,TIMM23B,Homo sapiens (Human),0,0.033251812,0.375493213,1,0.217056965,0.084368358
O14949,UQCRQ,Homo sapiens (Human),0,0.001092685,0.617405432,1,0.241864544,0.175511552
P19105,MYL12A,Homo sapiens (Human),0.30589377,0.458261352,1,0.399864572,0.203315923,0
O14964,HGS,Homo sapiens (Human),1,0.326024464,0.302953449,0.05829301,0.047817069,0
O14974,PPP1R12A,Homo sapiens (Human),1,0.407184711,0.319801899,0.220114276,0.050811321,0
O14980,XPO1,Homo sapiens (Human),0.156257973,0,0.097282321,0.467089902,1,0.218189004
O15031,PLXNB2,Homo sapiens (Human),1,0.67478669,0.52840043,0.259795765,0.178582002,0
O15091,KIAA0391,Homo sapiens (Human),0.001012409,0,0.378960314,1,0.275575455,0.056076703
O15118,NPC1,Homo sapiens (Human),0.797506394,0.981797081,1,0.382101146,0.098658431,0
O15121,DEGS1,Homo sapiens (Human),0.966728971,0.928407771,1,0.793333762,0.687349364,0
O15126,SCAMP1,Homo sapiens (Human),1,0.849809955,0.650578299,0.393440018,0.079241857,0
O15127,SCAMP2,Homo sapiens (Human),1,0.705592387,0.445723667,0.146790723,0.109853802,0
O15143,ARPC1B,Homo sapiens (Human),1,0.874453643,0,0.176964703,0.983473689,0.298738002
O15144,ARPC2,Homo sapiens (Human),1,0.16778685,0.197803049,0.115832013,0.062193469,0
O15145,ARPC3,Homo sapiens (Human),1,0.015967595,0.124761589,0.06805319,0.039270343,0
O15162,PLSCR1,Homo sapiens (Human),1,0.608638753,0.449168549,0.147920731,0.051126185,0
O15173,PGRMC2,Homo sapiens (Human),0.829741338,1,0.620717309,0.485927251,0.509905874,0
O15228,GNPAT,Homo sapiens (Human),0.007552335,0.317813872,0.92583796,1,0.776595935,0
O15230,LAMA5,Homo sapiens (Human),0.456020659,1,0.689788309,0.39495275,0.471603326,0
O15235,MRPS12,Homo sapiens (Human),0,0.016479601,0.514352191,1,0.232843747,0.116147996
O15254,ACOX3,Homo sapiens (Human),0,0.188588404,0.812267216,0.966640972,1,0.067783429
O15258,RER1,Homo sapiens (Human),0.640806592,1,0.381380204,0.519977057,0.584195402,0
O15260,SURF4,Homo sapiens (Human),0.583602894,0.834863582,0.300119931,0.353294243,1,0
O15269,SPTLC1,Homo sapiens (Human),0.948783273,1,0.612589531,0.440995184,0.693653668,0
O15270,SPTLC2,Homo sapiens (Human),0.670941427,1,0.630425416,0.449883581,0.612388176,0
O15320,CTAGE5,Homo sapiens (Human),0.398484665,0.629560392,1,0.292422226,0,0.030265282
O15321,TM9SF1,Homo sapiens (Human),0.223045675,1,0.551536216,0.231624125,0.491877852,0
O15371,EIF3D,Homo sapiens (Human),0.428780025,0,0.045898663,0.393199137,1,0.504283298
O15382,BCAT2,Homo sapiens (Human),0.020855009,0,0.386604161,1,0.478801213,0.117997587
O15400,STX7,Homo sapiens (Human),0.98314547,1,0.517498755,0.142322913,0.060251475,0
O15427,SLC16A3,Homo sapiens (Human),1,0.496513501,0.397813861,0.14050006,0.034344288,0
O15439,ABCC4,Homo sapiens (Human),1,0.540221907,0.648376348,0.336898607,0.123066864,0
O15460,P4HA2,Homo sapiens (Human),0.56879452,0.942322677,1,0.575561779,0.581514325,0
O15484,CAPN5,Homo sapiens (Human),1,0.476837184,0.457301441,0.239249751,0.085522544,0
O15498,YKT6,Homo sapiens (Human),1,0.48725925,0.43007815,0.278713042,0.129882241,0
O15511,ARPC5,Homo sapiens (Human),1,0.29134189,0.327594617,0.727960221,0.327224626,0
O15533,TAPBP,Homo sapiens (Human),0.463845693,0.794467513,0.480444636,0.562242691,1,0
O43169,CYB5B,Homo sapiens (Human),0.901412704,0.739068575,0.871087512,1,0.188983098,0
O43175,PHGDH,Homo sapiens (Human),0.327968962,0,0.030235561,0.396103599,1,0.502384415
O43181,NDUFS4,Homo sapiens (Human),0,0.007208027,0.475435543,1,0.253596423,0.096497581
O43242,PSMD3,Homo sapiens (Human),0.257365313,0,0.262867088,0.51968206,1,0.81606689
O43264,ZW10,Homo sapiens (Human),1,0.735001628,0.530771865,0.173798377,0.180208906,0
O43292,GPAA1,Homo sapiens (Human),0.720526569,1,0.627204506,0.506325894,0.731793473,0
O43294,TGFB1I1,Homo sapiens (Human),0.137573105,0.060586187,0,0.224889592,1,0.333528878
O43399,TPD52L2,Homo sapiens (Human),0.995423008,1,0.564282849,0.326714079,0.290172964,0
O43402,EMC8,Homo sapiens (Human),0.526490178,0.924682564,1,0.452637326,0.723772078,0
O43464,HTRA2,Homo sapiens (Human),0,0.017907444,0.429932258,1,0.162815105,0.076174981
O43615,TIMM44,Homo sapiens (Human),0,0.007875731,0.418223411,1,0.308496762,0.107515776
O43617,TRAPPC3,Homo sapiens (Human),0.3787134,1,0,0.000332781,0.798259523,0.046455724
O43657,TSPAN6,Homo sapiens (Human),0.856158644,1,0.581046475,0.133741322,0.207286691,0
O43674,NDUFB5,Homo sapiens (Human),0,0.020693149,0.463815043,1,0.37128894,0.191041933
O43676,NDUFB3,Homo sapiens (Human),0,0.010685811,0.420203984,1,0.380996463,0.169693261
O43677,NDUFC1,Homo sapiens (Human),0,0.000663078,0.426009515,1,0.319211722,0.408048191
O43678,NDUFA2,Homo sapiens (Human),0,0.039359958,0.437970781,1,0.398211131,0.144890436
O43681,ASNA1,Homo sapiens (Human),0.447174631,0.128759981,0,0.328519634,1,0.365538016
O43707,ACTN4,Homo sapiens (Human),1,0.464357965,0.319288049,0.214353108,0.06937022,0
O43716,GATC,Homo sapiens (Human),0,0.066290279,0.419325083,1,0.373821926,0.133761002
O43747,AP1G1,Homo sapiens (Human),0.489425301,1,0.819220511,0.196200953,0.112655365,0
O43772,SLC25A20,Homo sapiens (Human),0.00614255,0,0.41282781,1,0.442099504,0.183516498
O43776,NARS,Homo sapiens (Human),0.266887807,0.172328264,0,0.175057386,1,0.526263418
O43795,MYO1B,Homo sapiens (Human),1,0.356260132,0.304581544,0.156637747,0.028854666,0
O43819,SCO2,Homo sapiens (Human),0.114903048,0.028055476,0.468156354,1,0.264411438,0
O43837,IDH3B,Homo sapiens (Human),0,0.006998155,0.407816827,1,0.300086796,0.109755799
O43852,#N/A,#N/A,0.886797015,0.720311338,1,0.267573163,0.04567786,0
O43852-2,#N/A,#N/A,0.867588864,1,0.863293279,0.2589768,0.071238847,0
O43854,EDIL3,Homo sapiens (Human),1,0.639670465,0.289741202,0.18690463,0.121878734,0
O43865,AHCYL1,Homo sapiens (Human),1,0.228841072,0.107625519,0,0.227331068,0.232804832
O60291,MGRN1,Homo sapiens (Human),1,0.810211272,0.616337535,0.369140235,0.251013726,0
O60313,OPA1,Homo sapiens (Human),0,0.041876346,0.50581604,1,0.18652154,0.085532605
O60476,MAN1A2,Homo sapiens (Human),0.416386545,1,0.82366765,0.306732547,0.44095445,0
O60488,ACSL4,Homo sapiens (Human),0.249878947,0.118043902,0.559721096,1,0.147011007,0
O60493,SNX3,Homo sapiens (Human),0.282494746,0.094769461,0,0.183751711,1,0.365262372
O60506,SYNCRIP,Homo sapiens (Human),0.831610252,0,0.255314889,0.749514211,0.936957672,1
O60518,RANBP6,Homo sapiens (Human),0,0.014362199,0.59315039,1,0.25688032,0.066150226
O60568,PLOD3,Homo sapiens (Human),0.590531815,1,0.893871846,0.418945547,0.420918178,0
O60664,PLIN3,Homo sapiens (Human),1,0.447446341,0.364524754,0.584268102,0.214811586,0
O60701,UGDH,Homo sapiens (Human),0.160965793,0.02109056,0,0.368187405,1,0.601375991
O60716,CTNND1,Homo sapiens (Human),1,0.413517709,0.325568762,0.16236183,0.074897301,0
O60762,DPM1,Homo sapiens (Human),0.944162104,1,0.857026417,0.485432871,0.341654714,0
O60763,USO1,Homo sapiens (Human),0.242419191,0.042890212,0,0.269545958,1,0.196170838
O60783,MRPS14,Homo sapiens (Human),0,0.02503587,0.461270034,1,0.399579992,0.166847887
O60831,PRAF2,Homo sapiens (Human),0.861888147,1,0.290986112,0.370714337,0.53682713,0
O60841,EIF5B,Homo sapiens (Human),0.251831049,0,0.227878405,0.521820295,1,0.393078928
O60884,DNAJA2,Homo sapiens (Human),0.029148631,0,0.099829642,0.354436899,1,0.733038648
O60888,CUTA,Homo sapiens (Human),0.214754793,0.087884367,0.508138058,1,0.314771768,0
O75027,ABCB7,Homo sapiens (Human),0,0.070002063,0.408156696,1,0.378991618,0.095708463
O75083,WDR1,Homo sapiens (Human),1,0.260001245,0.100790932,0.059037954,0.155763408,0
O75131,CPNE3,Homo sapiens (Human),0.914372892,0.272036294,0.117505225,0.625717552,1,0
O75165,DNAJC13,Homo sapiens (Human),0.785599331,1,0.31055531,0.156317265,0.243971539,0
O75190,DNAJB6,Homo sapiens (Human),0.019204209,0,0.189469119,0.46061401,1,0.972655725
O75208,COQ9,Homo sapiens (Human),0,0.002332651,0.443994407,1,0.260559207,0.136010287
O75306,NDUFS2,Homo sapiens (Human),0,0.00290292,0.394060247,1,0.443411183,0.128230681
O75323,GBAS,Homo sapiens (Human),0,0.034859217,0.484499379,1,0.452982055,0.176031982
O75326,SEMA7A,Homo sapiens (Human),1,0.510432657,0.419170505,0.169919331,0.06430546,0
O75340,PDCD6,Homo sapiens (Human),0.766384419,0.529846858,0.195225805,0.259289646,1,0
O75348,ATP6V1G1,Homo sapiens (Human),1,0.343480428,0.802761247,0.271336969,0.060852396,0
O75369,FLNB,Homo sapiens (Human),1,0.236513274,0.319869117,0.162078417,0.065563745,0
O75380,NDUFS6,Homo sapiens (Human),0.005658102,0,0.499225466,1,0.226454666,0.080273666
O75381,PEX14,Homo sapiens (Human),0,0.251179989,1,0.811999483,0.584837686,0.001824976
O75390,CS,Homo sapiens (Human),0,0.015018189,0.458260058,1,0.363072417,0.138725103
O75396,SEC22B,Homo sapiens (Human),1,0.646138743,0.179398097,0.097028642,0.133555811,0
O75431,MTX2,Homo sapiens (Human),0,0.005331061,0.42714084,1,0.354425389,0.111189353
O75438,NDUFB1,Homo sapiens (Human),0,0.001175802,0.423465866,1,0.345092886,0.101358557
O75439,PMPCB,Homo sapiens (Human),0,0.018328402,0.404291007,1,0.422149251,0.156693043
O75477,ERLIN1,Homo sapiens (Human),1,0.897488273,0.835387172,0.671492474,0.615861031,0
O75489,NDUFS3,Homo sapiens (Human),0,0.034758919,0.427320898,1,0.400572851,0.16361143
O75503,CLN5,Homo sapiens (Human),0.37849136,0.496251988,1,0.5028686,0.066232176,0
O75521,ECI2,Homo sapiens (Human),0,0.076219775,0.726381373,1,0.481680551,0.129582155
O75531,BANF1,Homo sapiens (Human),0.569759905,0.560179337,1,0.457419773,0.178599631,0
O75534,CSDE1,Homo sapiens (Human),0.449740554,0,0.393316472,0.73177234,1,0.851750554
O75569,PRKRA,Homo sapiens (Human),0.320609436,0,0.405479377,0.8484634,1,0.285461118
O75600,GCAT,Homo sapiens (Human),0,0.072186794,0.459652421,1,0.41750495,0.156344939
O75616,ERAL1,Homo sapiens (Human),0.112883183,0,0.349343821,1,0.261242111,0.074298531
O75695,RP2,Homo sapiens (Human),1,0.476644483,0.372965058,0.147974586,0.025569389,0
O75718,CRTAP,Homo sapiens (Human),0.691681864,1,0.955886353,0.382363692,0.249845618,0
O75746,SLC25A12,Homo sapiens (Human),0,0.031011272,0.383970319,1,0.396955601,0.103684227
O75781,PALM,Homo sapiens (Human),1,0.550379184,0.245979311,0.090947906,0.077959821,0
O75787,ATP6AP2,Homo sapiens (Human),1,0.798678482,0.939954419,0.371240149,0.253284133,0
O75844,ZMPSTE24,Homo sapiens (Human),1,0.624185977,0.763907614,0.473666459,0.319271432,0
O75874,IDH1,Homo sapiens (Human),1,0.664260955,0.262517091,0.580213556,0.617050786,0
O75880,SCO1,Homo sapiens (Human),0,0.03068182,0.508594642,1,0.170054992,0.046944602
O75947,ATP5H,Homo sapiens (Human),0.010623513,0,0.455937744,1,0.380217909,0.139739719
O75955,FLOT1,Homo sapiens (Human),1,0.669751344,0.525338209,0.236664224,0.076011874,0
O75964,ATP5L,Homo sapiens (Human),0,0.025764292,0.334450151,1,0.451309335,0.14515491
O75976,CPD,Homo sapiens (Human),0.373937951,1,0.580170873,0.253353655,0.194374869,0
O76024,WFS1,Homo sapiens (Human),0.601800469'SEPT25,1,0.74743141,0.481014864,0.471728995,0
O76031,CLPX,Homo sapiens (Human),0,0.026190369,0.512838053,1,0.335661781,0.150702767
O76074,PDE5A,Homo sapiens (Human),0.505833439,0.198526834,0.180203233,0.213966358,1,0
O76094,SRP72,Homo sapiens (Human),0.241267708,0,0.021451034,0.422510302,1,0.715596979
O94766,B3GAT3,Homo sapiens (Human),0.392531753,1,0.547898274,0.369969112,0.367996809,0
O94804,STK10,Homo sapiens (Human),0.506062718,0.177155673,0,0.149515022,1,0.68404684
O94826,TOMM70A,Homo sapiens (Human),0,0.063222734,0.554825108,1,0.362079966,0.188663039
O94874,UFL1,Homo sapiens (Human),1,0.626876466,0.162932221,0.140367231,0.145109739,0
O94901,SUN1,Homo sapiens (Human),0.097614061,0.06948292,0.046088721,0.26867232,1,0
O94905,ERLIN2,Homo sapiens (Human),1,0.720430381,0.880309796,0.778394949,0.849454608,0
O94919,ENDOD1,Homo sapiens (Human),0.713615466,1,0.443531145,0.35030894,0.356468601,0
O94925-3,#N/A,#N/A,0,0.0116765,0.571796592,1,0.294295048,0.142655977
O94973,AP2A2,Homo sapiens (Human),1,0.421828181,0.849283504,0.238092178,0.088113443,0
O94979,SEC31A,Homo sapiens (Human),0.11674724,0,0.100645503,0.431455954,1,0.558805215
O95139,NDUFB6,Homo sapiens (Human),0,0.013343272,0.41362948,1,0.330753866,0.133063597
O95140,MFN2,Homo sapiens (Human),0,0.021975953,0.518426441,1,0.212851274,0.045637014
O95159,ZFPL1,Homo sapiens (Human),0.632478481,1,0.262338355,0.209808116,0.355643296,0
O95167,NDUFA3,Homo sapiens (Human),0,0.014859914,0.394954472,1,0.278869823,0.08667547
O95168,NDUFB4,Homo sapiens (Human),0,0.076642018,0.350378877,1,0.712218523,0.171729633
O95169,NDUFB8,Homo sapiens (Human),0,0.031975093,0.398635588,1,0.439323393,0.13366318
O95182,NDUFA7,Homo sapiens (Human),0,0.002392546,0.434766464,1,0.326728168,0.088503947
O95183,VAMP5,Homo sapiens (Human),1,0.47973806,0.439459243,0.159603304,0.100581237,0
O95202,LETM1,Homo sapiens (Human),0,0.016796486,0.440426216,1,0.330399914,0.142102043
O95292,VAPB,Homo sapiens (Human),1,0.630703014,0.201251184,0.05074464,0.005501749,0
O95297,MPZL1,Homo sapiens (Human),1,0.464670945,0.579768695,0.364446873,0.120876506,0
E9PQ53,NDUFC2-KCTD14,Homo sapiens (Human),0,0.006087532,0.509969317,1,0.351334375,0.140692422
O95299,NDUFA10,Homo sapiens (Human),0,0.009979767,0.433922953,1,0.282015241,0.121719047
O95302,FKBP9,Homo sapiens (Human),0.840426064,1,0.980694648,0.373130571,0.154811295,0
O95340,PAPSS2,Homo sapiens (Human),0.084201389,0,0.056376552,0.281989158,1,0.829388411
O95373,IPO7,Homo sapiens (Human),1,0.161911853,0,0.358736918,0.879772197,0.617829597
O95433,AHSA1,Homo sapiens (Human),0.500797346,0,0.127512104,0.333934858,1,0.162989092
O95470,SGPL1,Homo sapiens (Human),0.872866247,1,0.723271818,0.405429696,0.293648257,0
O95479,H6PD,Homo sapiens (Human),0.618374949,1,0.679023276,0.431576152,0.71947158,0
O95563,MPC2,Homo sapiens (Human),0,0.024460816,0.444196027,1,0.219295631,0.07830111
O95571,ETHE1,Homo sapiens (Human),0,0.036047277,0.433574246,1,0.520044958,0.168695901
O95573,ACSL3,Homo sapiens (Human),0.944616396,1,0.572335709,0.311198167,0.25321373,0
O95671,ASMTL,Homo sapiens (Human),0.076198576,0,0.260366536,0.859802195,1,0.666391882
O95721,SNAP29,Homo sapiens (Human),1,0.759850451,0.303715007,0.194173108,0.020281288,0
O95782,AP2A1,Homo sapiens (Human),1,0.588165304,0.867324932,0.248754365,0.155968126,0
O95786,DDX58,Homo sapiens (Human),0.749863538,0,0.374337084,0.674032937,0.900105393,1
O95810,SDPR,Homo sapiens (Human),1,0.530662693,0.704938135,0.240356932,0.238608502,0
O95816,BAG2,Homo sapiens (Human),0,0.245940222,0.225782967,0.326353942,1,0.875651684
O95822,MLYCD,Homo sapiens (Human),0,0.067970611,0.489403118,1,0.418852654,0.138732754
O95831,AIFM1,Homo sapiens (Human),0,0.008436946,0.441475956,1,0.183941956,0.076522
O95870,ABHD16A,Homo sapiens (Human),0.429414012,0.683981494,0.809067221,1,0.685116102,0
O95881,TXNDC12,Homo sapiens (Human),0.896299308,1,0.874548533,0.304672698,0.120537414,0
O95980,RECK,Homo sapiens (Human),1,0.459305206,0.381975446,0.19341431,0.165172004,0
O96000,NDUFB10,Homo sapiens (Human),0.001208112,0,0.421648339,1,0.413314559,0.123899555
O96005,CLPTM1,Homo sapiens (Human),1,0.838813919,0.894414187,0.386174832,0.267226595,0
O96008,TOMM40,Homo sapiens (Human),0,0.023449723,0.410873777,1,0.416539151,0.148132521
O96011,PEX11B,Homo sapiens (Human),0,0.308691898,0.509372657,0.59934223,1,0.000264706
P00167,CYB5A,Homo sapiens (Human),1,0.871678027,0.812412464,0.362728938,0.225202518,0
P00338,LDHA,Homo sapiens (Human),1,0.53304132,0.444238496,0.315644044,0.207110085,0
P00367,GLUD1,Homo sapiens (Human),0,0.011346976,0.470694258,1,0.360599852,0.132394351
P00387,CYB5R3,Homo sapiens (Human),0.70416999,0.668095316,0.79111453,1,0.443415472,0
P00390,GSR,Homo sapiens (Human),0.130328402,0,0.36678326,1,0.405161336,0.080546773
P00403,MT-CO2,Homo sapiens (Human),0,0.033845006,0.339254083,1,0.48380489,0.129016625
P00414,MT-CO3,Homo sapiens (Human),0,0.04489494,0.262369854,1,0.375598122,0.103532803
P00441,SOD1,Homo sapiens (Human),1,0.756667923,0.754586546,0.31349657,0.056343459,0
P00505,GOT2,Homo sapiens (Human),0,0.02112787,0.460992256,1,0.26976077,0.104241639
P00533,EGFR,Homo sapiens (Human),1,0.470785268,0.382193817,0.267164553,0.180363463,0
P00558,PGK1,Homo sapiens (Human),1,0.387677491,0.187607847,0.097182036,0.064178847,0
P00568,AK1,Homo sapiens (Human),0.225644071,0.046196495,0,0.273202068,1,0.263609713
P00749,PLAU,Homo sapiens (Human),1,0.748264397,0.61790943,0.299572211,0.474983564,0
P00750,PLAT,Homo sapiens (Human),0.357564719,0.115377544,0.322909842,0.632872853,1,0
P00813,ADA,Homo sapiens (Human),1,0.442150865,0.404942805,0.142854002,0.006348927,0
P01033,TIMP1,Homo sapiens (Human),0.627245006,1,0.639335088,0.404114963,0.30712646,0
P01034,CST3,Homo sapiens (Human),0.976100321,1,0.881691993,0.502222795,0.127629736,0
P01116,KRAS,Homo sapiens (Human),1,0.432754327,0.332998702,0.127841692,0.032127149,0
P01889,HLA-B,Homo sapiens (Human),1,0.461776148,0.43780892,0.113109374,0.009616282,0
P02452,COL1A1,Homo sapiens (Human),0.213419334,1,0.73234683,0.271272926,0.295840372,0
P02462,COL4A1,Homo sapiens (Human),0.31971593,0.577206278,1,0.254458415,0.3899317,0
P02511,CRYAB,Homo sapiens (Human),0.029876823,0,0.058804471,0.384389132,1,0.470843227
P02545,LMNA,Homo sapiens (Human),0.882762774,1,0.690656621,0.339520565,0.450163986,0
